REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KEBEMER,LORO,TAYIF NGANADO,1,177,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,LORO,THIARENE SARR,1,123,ABRI PROVISOIRE
LOUGA,KEBEMER,LORO,THILMAKHA NGOL,1,350,ECOLE CLASSE CI
LOUGA,KEBEMER,LORO,THILMAKHA NGOL,2,349,ABRI PROVISOIRE
LOUGA,KEBEMER,MBACKE CAJOR,EUPEUL PEULH,1,189,CASE DE SANTE
LOUGA,KEBEMER,MBACKE CAJOR,MBACKE CAYOR CASE TOUT PETIT,1,117,SALLE DE COURS PETITE SECTION
LOUGA,KEBEMER,MBACKE CAJOR,MBACKE CAYOR ECOLE FRANCAISE,1,584,CLASSE CE2
LOUGA,KEBEMER,MBACKE CAJOR,MBACKE CAYOR ECOLE FRANCAISE,2,585,SALLE CP
LOUGA,KEBEMER,MBACKE CAJOR,NDEUR DIOP,1,110,CLASSE CI
LOUGA,KEBEMER,MBACKE CAJOR,NDIAKHAYE OUOLOF,1,237,CLASSE CP
LOUGA,KEBEMER,MBACKE CAJOR,NDIAO NDIAO OUOLOF,1,303,CASE DE SANTE
LOUGA,KEBEMER,MBACKE CAJOR,THIOURANG PEULH,1,387,CLASSE CP
LOUGA,KEBEMER,MBADIANE,DAROU KOSSO,1,361,ECOLE CLASSE CE 2
LOUGA,KEBEMER,MBADIANE,DAROU MINAME,1,302,ECOLE CLASSE CI
LOUGA,KEBEMER,MBADIANE,DAROU VAHAB,1,362,CLASSE CM1
LOUGA,KEBEMER,MBADIANE,MBADIANE,1,537,CLASSE CE1
LOUGA,KEBEMER,MBADIANE,MBADIANE,2,538,CLASSE CM1
LOUGA,KEBEMER,MBADIANE,NIOMRE,1,202,CASE DE SANTE
LOUGA,KEBEMER,MBADIANE,TAYIF DIOP,1,466,ECOLE CLASSE CE 2
LOUGA,KEBEMER,MBADIANE,THIAMENE 2,1,226,CASE DE SANTE
LOUGA,KEBEMER,MBADIANE,THIAWAGNE LALOYE,1,255,ECOLE CLASSE CE1
LOUGA,KEBEMER,MBADIANE,TINGUITI,1,288,ECOLE
LOUGA,KEBEMER,NDANDE,ANDOULAYE,1,436,ABRI PROVISOIRE
LOUGA,KEBEMER,NDANDE,ANDOULAYE,2,230,ABRI PROVISOIRE
LOUGA,KEBEMER,NDANDE,GATI RAT,1,394,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,GOUY MEO,1,271,CASE DE SANTE
LOUGA,KEBEMER,NDANDE,MBAYE DJIGNAKH,1,247,MAGASIN DE STOCKAGE CEREALIERE
LOUGA,KEBEMER,NDANDE,NDANDE,1,588,ECOLE NDANDE 1 CLASSE CE2 A
LOUGA,KEBEMER,NDANDE,NDANDE,2,586,ECOLE NDANDE 1 CLASSE CM1 A
LOUGA,KEBEMER,NDANDE,NDANDE,3,588,ECOLE NDANDE 1 CLASSE CP B
LOUGA,KEBEMER,NDANDE,NDANDE,4,588,MAISON COMMUNAUTAIRE
LOUGA,KEBEMER,NDANDE,NDANDE,5,589,ECOLE NDANDE 2 CLASSE CI B
LOUGA,KEBEMER,NDANDE,NDANDE,6,589,ECOLE NDANDE 3 CLASSE CM 2
LOUGA,KEBEMER,NDANDE,NDANDE,7,588,ECOLE NDANDE 3 CLASSE CI
LOUGA,KEBEMER,NDANDE,NDANDE,8,589,ECOLE NDANDE 1 SALLE CLASSE
LOUGA,KEBEMER,NDANDE,NDANDE,9,585,ECOLE NDANDE 2 CLASSE CIA
LOUGA,KEBEMER,NDANDE,NDANDE,10,585,ECOLE NDANDE 2 SALLE DE CLASSE
LOUGA,KEBEMER,NDANDE,NDIALENE,1,476,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,NDIALENE,2,475,ECOLE CLASSE CE 1
LOUGA,KEBEMER,NDANDE,NDIAYE BOUMI,1,298,ECOLE NDIAYE BOUMI CI
LOUGA,KEBEMER,NDANDE,NDIAYE THIORO,1,600,ECOLE CLASSE CM 2
LOUGA,KEBEMER,NDANDE,NDIONGUE FALL,1,454,ECOLE CLASSE CE 1
LOUGA,KEBEMER,NDANDE,NIOKHOUL MBIRAM,1,219,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,PALENE DED,1,501,ECOLE CLASSE CM 1
LOUGA,KEBEMER,NDANDE,PALMEO,1,595,ECOLE CLASSE CI
LOUGA,KEBEMER,NDANDE,PALMEO,2,594,ECOLE CLASSE CE 2
LOUGA,KEBEMER,NDANDE,SANTHIOU MOUR,1,435,ECOLE CLASSE CE 2
LOUGA,KEBEMER,NDANDE,THIEY THIEY,1,568,ECOLE CORANIQUE SALLE 1
LOUGA,KEBEMER,NDANDE,THIEY THIEY,2,81,ECOLE CORANIQUE SALLE 2
LOUGA,KEBEMER,NDANDE,THYLL,1,356,ECOLE FRANCO-ABARE CI
LOUGA,KEBEMER,NDOYENE,BARGA,1,317,CLASSE CE1
LOUGA,KEBEMER,NDOYENE,GATTI NIASSENE 1,1,173,ABRI PROVISOIRE
LOUGA,KEBEMER,NDOYENE,GOUYE DIAMA,1,291,CASE DE SANTE
LOUGA,KEBEMER,NDOYENE,KOULI,1,212,CLASSE CI
LOUGA,KEBEMER,NDOYENE,MBEUSSINE,1,276,CLASSE CM2
LOUGA,KEBEMER,NDOYENE,NDOYENE,1,319,CLASSE CM2
LOUGA,KEBEMER,NDOYENE,NDOYENE,2,320,SALLE DE CLASSE
LOUGA,KEBEMER,NDOYENE,NDOYENE,3,319,SALLE CP
LOUGA,KEBEMER,NDOYENE,NIASSENE,1,106,ABRI PROVISOIRE
LOUGA,KEBEMER,NDOYENE,TAYSIR,1,548,ECOLE CLASSE CE1
LOUGA,KEBEMER,NDOYENE,TAYSIR,2,146,ECOLE CLASSE CP
LOUGA,KEBEMER,NGOURANE OUOLOF,BAKHIYA NDIAYE,1,340,ECOLE CLASSE CE1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,DIOKOUL FALL,1,376,ECOLE CLASSE CI
LOUGA,KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,1,381,ECOLE CLASSE CE1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,2,381,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,3,380,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,NGOURANE OUOLOF,KHADJI GUEYE,1,348,ECOLE CLASSE CE2 A
LOUGA,KEBEMER,NGOURANE OUOLOF,KIR DIOM,1,173,ECOLE CLASSE CI
LOUGA,KEBEMER,NGOURANE OUOLOF,LOYENE SYLLA,1,310,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,NGOURANE OUOLOF,MBAROM DIOP,1,464,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,MBISSIS DIA,1,147,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,MERINA TALL,1,200,ECOLE CLASSE CI
LOUGA,KEBEMER,NGOURANE OUOLOF,NDANGOUR NDIAYE,1,101,ABRI PROVISOIRE
LOUGA,KEBEMER,NGOURANE OUOLOF,NDJINIAKH FALL,1,451,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,NGOURANE OUOLOF,NGAYE DIAWAR,1,375,ECOLE CLASSE CM1
LOUGA,KEBEMER,NGOURANE OUOLOF,THIECKENE SECK,1,310,ECOLE CLASSE CI
LOUGA,KEBEMER,NGOURANE OUOLOF,THIELBATI GOUMBALA,1,96,ABRI PROVISOIRE
